2018.06.27.17.13.28.673,2018.06.27.17.13.32.020
2018.06.27.17.15.35.556,2018.06.27.17.15.38.250
2018.06.27.17.30.17.489,2018.06.27.17.30.21.874
2018.06.27.17.45.49.580,2018.06.27.17.45.52.481
2018.06.27.17.48.27.900,2018.06.27.17.48.30.420
2018.06.27.17.48.30.766,2018.06.27.17.48.31.887
2018.06.27.17.49.47.281,2018.06.27.17.49.50.330
2018.06.27.17.49.50.563,2018.06.27.17.49.51.678
2018.06.27.17.53.28.843,2018.06.27.17.53.32.356
2018.06.27.17.53.32.654,2018.06.27.17.53.34.189
2018.06.27.17.58.20.195,2018.06.27.17.58.23.608
2018.06.27.18.03.25.730,2018.06.27.18.03.29.359
2018.06.27.18.03.29.732,2018.06.27.18.03.30.931
2018.06.27.18.40.46.712,2018.06.27.18.41.06.358
